,UBIQUE,S&P 500
01/11/2008," $100,000.00 "," $100,000.00 "
01/12/2008," $109,270.71 "," $101,647.52 "
01/01/2009," $115,078.89 "," $92,967.42 "
01/02/2009," $121,685.42 "," $83,027.89 "
01/03/2009," $121,525.51 "," $90,800.69 "
01/04/2009," $126,151.90 "," $99,864.85 "
01/05/2009," $136,722.52 "," $105,174.26 "
01/06/2009," $133,842.46 "," $104,725.43 "
01/07/2009," $133,036.14 "," $112,306.71 "
01/08/2009," $136,230.49 "," $115,754.55 "
01/09/2009," $140,827.26 "," $120,019.05 "
01/10/2009," $138,992.05 "," $117,889.23 "
01/11/2009," $165,743.81 "," $124,653.02 "
01/12/2009," $164,913.65 "," $126,491.80 "
01/01/2010," $146,427.00 "," $121,655.57 "
01/02/2010," $153,091.11 "," $125,122.09 "
01/03/2010," $165,168.15 "," $132,374.55 "
01/04/2010," $176,934.66 "," $134,121.86 "
01/05/2010," $180,454.15 "," $122,931.32 "
01/06/2010," $190,706.10 "," $116,533.18 "
01/07/2010," $189,207.66 "," $124,500.98 "
01/08/2010," $210,377.74 "," $117,958.52 "
01/09/2010," $219,584.57 "," $128,238.25 "
01/10/2010," $225,746.97 "," $132,698.32 "
01/11/2010," $229,648.08 "," $132,120.85 "
01/12/2010," $247,623.98 "," $140,030.73 "
01/01/2011," $242,906.91 "," $143,204.09 "
01/02/2011," $259,782.82 "," $147,434.20 "
01/03/2011," $258,965.89 "," $147,122.38 "
01/04/2011," $284,383.46 "," $150,899.26 "
01/05/2011," $284,022.36 "," $148,687.52 "
01/06/2011," $276,977.16 "," $145,972.86 "
01/07/2011," $303,598.77 "," $142,838.18 "
01/08/2011," $344,981.10 "," $134,693.93 "
01/09/2011," $339,566.74 "," $125,004.44 "
01/10/2011," $352,268.36 "," $138,496.02 "
01/11/2011," $344,462.22 "," $138,048.75 "
01/12/2011," $296,666.29 "," $139,232.26 "
01/01/2012," $326,307.90 "," $145,155.00 "
01/02/2012," $328,355.65 "," $151,042.17 "
01/03/2012," $332,020.25 "," $155,749.58 "
01/04/2012," $322,350.97 "," $154,581.86 "
01/05/2012," $334,446.94 "," $144,902.38 "
01/06/2012," $340,667.89 "," $150,686.89 "
01/07/2012," $346,887.33 "," $152,566.14 "
01/08/2012," $350,364.00 "," $155,581.36 "
